year,timestamp,courseenrolled,motivation_required,motivation_current,motivation_advancement,motivation_careerchange,motivation_profdev,motivation_jobdisplace,motivation_relocation,motivation_indcert,motivation_financial,motivation_enrichment,motivation_curiosity,participate_openhouse,participate_instdecday,participate_oncampusinfosess,participate_titanstue,participate_womenwhodare,participate_regcollegefair,impactenr_mshscompclass,impactenr_mshscompclub,impactenr_competitions,impactenr_afterschoolprog,impactenr_summerprog,impactenr_apclass,impactenr_dualenrollclass,impactenr_familyfriend,impactenr_familyfriendinfield,impactenr_hscounslor,impactenr_employer,hear_ccmwebsite,hear_billboard,hear_tv,hear_radio,hear_socmedia,hear_communityevent,hear_familyfriend,hear_employer,hear_ccmstudent,hear_ccmalumni,hear_hs,impactatt_affordable,impactatt_locconvenience,impactatt_progchoice,impactatt_onlineoff,impactatt_familyfriend,impactatt_facultystaff,impactatt_reputation,impactatt_scholarships,impactatt_transferstud,impactatt_smallclass,impactatt_extracurricula,degreeenrolled,infosource_hscounselor,infosource_ccmwebsite,infosource_ccmadmissions,infosource_ccmcounselor,infosource_employer,infosource_other,interest,interest_webdev,interest_cybersec,interest_appdev,interest_dataanalytics,interest_mlai,interest_compprog,interest_gamedes,interest_hardware,gender,race_ethnicity,age
2024,2024-09-11 20:16:57-05:00,CMP 101 Computer Information Literacy,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Yes,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Nursing,No,No,No,No,No,No,2.0,Yes,No,Yes,No,No,Yes,No,No,Woman,Asian,25-34
2024,2024-09-12 09:34:01-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,Yes,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,Some Impact,Radiography,No,No,Yes,No,No,No,2.0,No,No,No,No,No,No,No,No,Woman,Hispanic or Latino;White/Caucasian,21-24
2024,2024-09-12 09:34:06-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,Yes,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,Some Impact,Radiography,No,No,Yes,No,No,No,2.0,No,No,No,No,No,No,No,No,Woman,Hispanic or Latino;White/Caucasian,21-24
2024,2024-09-12 10:29:04-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Radiography,Don't recall,No,No,No,No,No,1.0,No,No,No,No,No,No,No,No,Woman,White/Caucasian,21-24
2024,2024-09-12 11:29:38-05:00,CMP 135 Computer Concepts with Applications,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Radiography,No,No,Yes,No,No,No,2.0,No,No,No,No,No,No,Yes,No,Non-binary,White/Caucasian,18 and younger
2024,2024-09-12 11:30:15-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,Yes,Some Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Exercise Science,No,No,Don't recall,Don't recall,No,No,2.0,No,No,No,No,Yes,No,No,No,Man,White/Caucasian,19-20
2024,2024-09-12 11:30:18-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,High Impact,No Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Radiography,No,No,No,No,No,No,2.0,No,No,No,No,No,No,No,No,Woman,White/Caucasian,18 and younger
2024,2024-09-12 11:30:21-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Exercise Science,No,No,No,No,No,No,2.0,No,No,No,No,No,No,No,No,Man,White/Caucasian,18 and younger
2024,2024-09-12 11:30:23-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,No,No,Some Impact,High Impact,High Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Radiography,No,No,No,No,No,No,4.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Woman,Hispanic or Latino,18 and younger
2024,2024-09-12 11:30:37-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,Engineering Science,No,No,No,No,No,No,2.0,No,No,No,Yes,Yes,Yes,No,Yes,Man,Asian;Black/African American,19-20
2024,2024-09-12 11:30:41-05:00,CMP 135 Computer Concepts with Applications,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Radiography,No,Yes,No,Yes,No,No,3.0,No,No,No,No,No,No,No,No,Woman,White/Caucasian,18 and younger
2024,2024-09-12 11:30:44-05:00,CMP 135 Computer Concepts with Applications,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,Engineering Science,No,No,No,No,No,No,2.0,No,No,No,No,No,No,No,No,Man,Asian;White/Caucasian,19-20
2024,2024-09-12 11:30:59-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Radiography,No,No,No,No,No,No,2.0,No,No,No,No,No,No,No,No,Man,White/Caucasian,25-34
2024,2024-09-12 11:31:09-05:00,CMP 101 Computer Information Literacy,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Radiography,No,No,No,No,No,No,3.0,No,Yes,No,No,No,No,No,No,Man,Hispanic or Latino,25-34
2024,2024-09-12 11:31:20-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Some Impact,,High Impact,,,,Some Impact,,,,,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Some Impact,Some Impact,High Impact,High Impact,No Impact,,,,Some Impact,,,Radiography,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,5.0,Yes,Yes,No,Yes,No,Yes,No,Yes,Woman,Hispanic or Latino,19-20
2024,2024-09-12 11:31:27-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Music,No,No,Don't recall,Don't recall,Yes,No,2.0,No,No,No,No,No,No,Yes,No,Man,Hispanic or Latino;White/Caucasian,18 and younger
2024,2024-09-12 11:31:56-05:00,CMP 135 Computer Concepts with Applications,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,High Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Nursing,No,No,Yes,No,No,No,2.0,Yes,Yes,Yes,No,No,No,Yes,No,Woman,White/Caucasian,19-20
2024,2024-09-12 11:32:08-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,Yes,Yes,Yes,High Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Engineering Science,No,No,No,No,No,No,2.0,No,No,No,No,No,Yes,No,No,Man,White/Caucasian,19-20
2024,2024-09-12 11:32:22-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Radiography,No,Yes,Yes,Yes,No,No,3.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Man,Asian;White/Caucasian,25-34
2024,2024-09-12 11:32:31-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Radiography,No,No,Yes,Yes,No,No,2.0,No,No,No,Yes,No,No,No,No,Woman,Hispanic or Latino,21-24
2024,2024-09-12 11:32:42-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Not Sure,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,,High Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,Radiography,No,Yes,Yes,Yes,No,No,2.0,No,No,No,No,No,No,No,No,Woman,Hispanic or Latino,21-24
2024,2024-09-12 11:32:44-05:00,CMP 135 Computer Concepts with Applications,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,,Some Impact,,,,,Some Impact,Some Impact,Some Impact,Some Impact,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,High Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Radiography,No,No,No,No,Yes,Yes,4.0,No,Yes,No,Yes,No,No,Yes,No,Woman,Hispanic or Latino;White/Caucasian,18 and younger
2024,2024-09-12 11:33:25-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,High Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Radiography,No,No,No,No,No,No,1.0,Yes,No,Yes,No,Yes,No,Yes,No,Woman,American Indian/Native American/Alaska Native;White/Caucasian,18 and younger
2024,2024-09-12 12:41:01-05:00,CMP 101 Computer Information Literacy,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No,No,No,No,No,No,Yes,Yes,No,No,No,High Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,Humanities and Social Sciences (Liberal Arts & Sciences),No,No,No,No,Yes,No,3.0,No,Yes,No,Yes,No,No,No,Yes,Man,White/Caucasian,35-64
2024,2024-09-12 15:57:02-05:00,CMP 101 Computer Information Literacy,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,No,No,No,No,No,No,Yes,No,Yes,No,No,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Nursing,No,Yes,No,No,No,Yes,1.0,No,Yes,No,No,No,No,No,No,Woman,Hispanic or Latino;White/Caucasian;Multi-Racial,21-24
2024,2024-09-12 20:04:41-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,Radiography,No,No,No,No,Yes,No,1.0,No,No,No,No,No,No,No,No,Man,White/Caucasian,19-20
2024,2024-09-12 20:04:45-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Some Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Radiography,No,No,Yes,Yes,No,No,3.0,Yes,No,Yes,No,No,No,No,No,Man,Black/African American,21-24
2024,2024-09-12 20:04:48-05:00,CMP 135 Computer Concepts with Applications,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,Humanities and Social Sciences (Liberal Arts & Sciences),No,Yes,No,No,No,No,1.0,No,No,No,No,No,No,No,No,Man,White/Caucasian,19-20
2024,2024-09-12 20:04:56-05:00,CMP 135 Computer Concepts with Applications,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,Humanities and Social Sciences (Liberal Arts & Sciences),No,No,No,No,No,No,3.0,No,Yes,No,No,No,No,No,No,Woman,White/Caucasian,19-20
2024,2024-09-12 20:05:15-05:00,CMP 135 Computer Concepts with Applications,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Radiography,No,No,No,No,No,No,2.0,No,No,No,No,Yes,No,No,No,Woman,Hispanic or Latino,19-20
2024,2024-09-12 20:05:28-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,High Impact,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,Nursing,No,Yes,Yes,No,No,No,5.0,Yes,No,No,No,Yes,Yes,No,No,Woman,Hispanic or Latino,21-24
2024,2024-09-12 20:05:31-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,High Impact,High Impact,,,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Some Impact,High Impact,High Impact,No Impact,High Impact,,Some Impact,,,Some Impact,No Impact,Radiography,No,No,Yes,No,No,No,5.0,No,Yes,No,No,Yes,No,Yes,No,Woman,Hispanic or Latino;Asian;White/Caucasian,18 and younger
2024,2024-09-12 20:05:34-05:00,CMP 135 Computer Concepts with Applications,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,No Impact,High Impact,High Impact,Criminal Justice,No,No,No,No,No,No,1.0,No,No,No,No,No,No,No,No,Woman,Black/African American,19-20
2024,2024-09-12 20:05:42-05:00,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Some Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Other,Yes,No,No,Yes,No,No,1.0,No,No,No,No,No,No,No,No,Woman,Hispanic or Latino,18 and younger
